id,name,sex,position,DerzeitigeNGO,Partei
Dieckmann,Baerbel Dieckmann,2,Praesident,WHH,3
vonBraun,Joachim vonBraun,1,Vizepraesident,WHH,0
Diallo,Amadou Diallo,1,Praesidium,WHH,0
Geisler,Norbert Geisler,1,Praesidium,WHH,0
LaniusHeck,Rita LaniusHeck,2,Praesidium,WHH,0
Schetter,ConradJustus Schetter,1,Praesidium,WHH,0
SchulzIsenbeck,Tobias SchulzIsenbeck,1,Praesidium,WHH,0
Wahnbaeck,Till Wahnbaeck,1,Vorstand,WHH,0
Mogge,Mathias Mogge,1,Vorstand,WHH,0
Monning,Christian Monning,1,Vorstand,WHH,0
Adrion,Benny Adrion,1,Kuratorium,WHH,0
Bellut,Thomas Bellut,1,Kuratorium,WHH,0
Bettermann,Erik Bettermann,1,Kuratorium,WHH,0
Conrad,Markus Conrad,1,Kuratorium,WHH,0
Cukrowski,Gesine Cukrowski,2,Kuratorium,WHH,0
Dahrendorf,Christiane Dahrendorf,1,Kuratorium,WHH,0
Detmers,Ulrike Detmers,2,Kuratorium,WHH,0
Griefahn,Monika Griefahn,2,Kuratorium,WHH,0
Heck,DieterThomas Heck,1,Kuratorium,WHH,0
Kuenzer,Nia Kuenzer,2,Kuratorium,WHH,0
Leipold,Gerd Leipold,1,Kuratorium,WHH,0
Oetker,CarlFerdinand Oetker,1,Kuratorium,WHH,0
Pfitzer,Marc Pfitzer,1,Kuratorium,WHH,0
PreussH,HansJoachim Preuss,1,Kuratorium,WHH,0
Raue,Stefan Raue,1,Kuratorium,WHH,0
Reim,Dagmar Reim,2,Kuratorium,WHH,0
Riesenbeck,Hajo Riesenbeck,1,Kuratorium,WHH,0
Schindhelm,Michael Schindhelm,1,Kuratorium,WHH,0
Schwan,Gesine Schwan,2,Kuratorium,WHH,0
vonGriesheim,Anna vonGriesheim,2,Kuratorium,WHH,0
vonHoltzbrinck,Dieter vonHoltzbrinck,1,Kuratorium,WHH,0
Zschocke,Christian Zschocke,1,Kuratorium,WHH,0
Muentefering,Franz Muentefering,1,Praesidium,ASB,3
Gleicke,Iris Gleicke,2,Praesidium,ASB,3
HammerschmidtR,Rudolf Hammerschmidt,1,Praesidium,ASB,0
MuellerW,Wilhelm Mueller,1,Praesidium,ASB,0
Fleckenstein,Knut Fleckenstein,1,Bundesvorstand,ASB,3
Borchmann,Uwe Borchmann,1,Bundesvorstand,ASB,0
Loew,HansWerner Loew,1,Bundesvorstand,ASB,3
Altdoerfer,KarlEugen Altdoerfer,1,Bundesvorstand,ASB,0
Foelich,Ludwig Froelich,1,Bundesvorstand,ASB,0
Niestaedt,Krimhild Niestaedt,2,Bundesvorstand,ASB,3
SchmidtT,Thomas Schmidt,1,Bundesvorstand,ASB,0
Stricker,Michael Stricker,1,Bundesvorstand,ASB,0
Theiss,Christine Theiss,2,Bundesvorstand,ASB,0
Scholz,Georg Scholz,1,Bundesvorstand,ASB,3
Schein,Anna Schein,2,Bundesvorstand,ASB,0
BauchU,Ulrich Bauch,1,Bundesgeschaeftsfuehrer,ASB,0
Kreutz,Marcus Kreutz,1,Bundesgeschaeftsfuehrer,ASB,0
Mertenskoetter,Stefan Mertenskoetter,1,Vorstand,arche,0
Trentzsch,Cornelia Trentzsch,2,Vorstand,arche,0
Loeper,Jan Loeper,1,Vorstand,arche,0
Marth,Reinhard Marth,1,Vorstand,GTO,0
Langenbach,Kilian Langenbach,1,Vorstand,GTO,0
Wagner,Barbara Wagner,2,Vorstand,GTO,0
Saygin,Kurt Saygin,1,Vorstand,IOG,0
Appel,Gordon Appel,1,Vorstand,IOG,0
Straub,Tilmann Straub,1,Vorstand,IOG,0
Faber,Marko Faber,1,Vorstand,IOG,0
Luessem,Joerg Luessem,1,Bundesvorstand,JU,0
Maehnert,Thomas Maehnert,1,Bundesvorstand,JU,0
vonPuttkamer,Hubertus vonPuttkamer,1,Bundesvorstand,JU,0
Weise,FrankJuergen Weise,1,Praesidium,JU,0
Fenge,Annette Fenge,2,Praesidium,JU,0
vonGneisenau,AlexanderGrafNeidhardt vonGneisenau,1,Praesidium,JU,0
Dyckerhoff,Christian Dyckerhoff,1,Praesidium,JU,0
Koelling,Ralf Koelling,1,Praesidium,JU,0
Little,Simon Little,1,Praesidium,JU,0
Seligmann,Oliver Seligmann,1,Praesidium,JU,0
WagnerPinggera,Andrea WagnerPinggera,2,Praesidium,JU,0
Bieger,FrankHenning Bieger,1,Praesidium,JU,0
Fritz,Peter Fritz,1,Praesidium,JU,0
PreussK,Klaus Preuss,1,Praesidium,JU,0
Tuppeck,Peter Tuppeck,1,Praesidium,JU,1
Kraemer,Stephan Kraemer,1,Vorstand,WRD,0
Hamm,Michaela Hamm,2,Vorstand,WRD,0
Benckert,Andrew Benckert,1,Vorstand,WRD,0
vonLobkowicz,Erich Prinz vonLobkowicz,1,Praesident,MI,0
vonMirbachHarff,Clemens Graf vonMirbachHarff,1,Vizepraesident,MI,0
vonBrandensteinZeppelin,Constantin vonBrandensteinZeppelin,1,Praesident,MI,0
SaurmaJeltsch,Douglas Graf vonSaurmaJeltsch,1,Vorstand,MI,0
vonFuerstenberg,Cornelius Freiherr vonFuerstenberg,1,Vorstand,MI,0
BauchW,Werner Bauch,1,Vorstand,PD,0
Berger,Axel Berger,1,Vorstand,PD,5
Daliri,Barbara Daliri,2,Vorstand,PD,0
Kloppenburg,Norbert Kloppenburg,1,Vorstand,PD,1
Klausnitzer,Rudi Klausnitzer,1,Vorstand,PD,0
Kramer,Maria Kramer,2,Vorstand,PD,0
Ritz,Dorothee Ritz,2,Vorstand,PD,0
Schweibert,Ulrike Schweibert,2,Vorstand,PD,0
Strehlau,Juergen Strehlau,1,Vorstand,PD,0
Taube,Guenther Taube,1,Vorstand,PD,0
Wirtz,Julia Wirtz,2,Vorstand,PD,0
Schleyer,HannsEberhard Schleyer,1,Kuratorium,PD,0
JahrStilcken,Angelika JahrStilcken,2,Kuratorium,PD,0
vonBassewitz,Christian vonBassewitz,1,Kuratorium,PD,0
AroldHahn,Antje AroldHahn,2,Kuratorium,PD,3
Doerner,Katja Doerner,2,Kuratorium,PD,4
Bernadotte,Bettina Bernadotte,2,Kuratorium,PD,0
Ellerbeck,Thomas Ellerbeck,1,Kuratorium,PD,0
Eick,Gabriele Eick,2,Kuratorium,PD,0
vonHardenberg,Tita vonHardenberg,2,Kuratorium,PD,0
Hess,MarcOliver Hess,1,Kuratorium,PD,0
Jergitsch,Friedrich Jergitsch,1,Kuratorium,PD,0
Hopfen,Jeannette Hopfen,2,Kuratorium,PD,0
Kracht,Marion Kracht,2,Kuratorium,PD,0
Kloeckner,Julia Kloeckner,2,Kuratorium,PD,1
Marjan,MarieLuise Marjan,2,Kuratorium,PD,0
Kretz,FranzJosef Kretz,1,Kuratorium,PD,0
