id,name,sex,position,Derzeitige NGO,Andere NGO,Organisation,Politik,Medien/Rundfunk/Fernsehen
Dieckmann,Baerbel Dieckmann,w,Praesident,WHH,Transparency International Deutschland,Deutsche Gesellschaft für Vereinte Nationen,SPD,
vonBraun,Joachim vonBraun,m,Vizepraesident,WHH,,Zentrum für Entwicklungsforschung der Universitaet Bonn,,
Diallo,Amadou Diallo,m,Praesidium,WHH,Amref,,,
Geisler,Norbert Geisler,m,Praesidium,WHH,,,,
LaniusHeck,Rita LaniusHeck,w,Praesidium,WHH,,,,
Schetter,ConradJustus Schetter,m,Praesidium,WHH,,Zentrum für Entwicklungsforschung der Universitaet Bonn,,
SchulzIsenbeck,Tobias SchulzIsenbeck,m,Praesidium,WHH,,,,
Wahnbaeck,Till Wahnbaeck,m,Vorstand,WHH,,,,Verlag Graefe und Unzer
Mogge,Mathias Mogge,m,Vorstand,WHH,,,,
Monning,Christian Monning,m,Vorstand,WHH,,,,
Adrion,Benny Adrion,m,Kuratorium,WHH,VcA,,,
Bellut,Thomas Bellut,m,Kuratorium,WHH,,,,ZDF
Bettermann,Erik Bettermann,m,Kuratorium,WHH,,,,
Conrad,Markus Conrad,m,Kuratorium,WHH,,,,
Cukrowski,Gesine Cukrowski,w,Kuratorium,WHH,,,,
Dahrendorf,Christiane Dahrendorf,w,Kuratorium,WHH,,,,
Detmers,Ulrike Detmers,w,Kuratorium,WHH,,,,
Griefahn,Monika Griefahn,w,Kuratorium,WHH,,,,
Heck,DieterThomas Heck,m,Kuratorium,WHH,,,,
Künzer,Nia Kuenzer,w,Kuratorium,WHH,,,,
Leipold,Gerd Leipold,m,Kuratorium,WHH,Greenpeace,,,
Oetker,CarlFerdinand Oetker,m,Kuratorium,WHH,,,,
Pfitzer,Marc Pfitzer,m,Kuratorium,WHH,,Foundation Strategy Group,,
Preuss,HansJoachim Preuss,m,Kuratorium,WHH,,Deutsche Gesellschaft für Internationale Zusammenarbeit,,
Raue,Stefan Raue,m,Kuratorium,WHH,,,,Deutschlandradio
Reim,Dagmar Reim,w,Kuratorium,WHH,,,,RBB
Riesenbeck,Hajo Riesenbeck,m,Kuratorium,WHH,,,,
Schindhelm,Michael Schindhelm,m,Kuratorium,WHH,,,,
Schwan,Gesine Schwan,w,Kuratorium,WHH,,HumboldtVIadrina Governance Platform,,
vonGriesheim,Anna vonGriesheim,w,Kuratorium,WHH,,,,
vonHoltzbrinck,Dieter vonHoltzbrinck,m,Kuratorium,WHH,,,,HoltzbrinckVerlagsgruppe
Zschocke,Christian Zwschocke,m,Kuratorium,WHH,,,,
Muentefering,Franz Muentefering,m,Praesidium,ASB,,,SPD,
Gleicke,Iris Gleicke,w,Praesidium,ASB,,,SPD,
Hammerschmidt,Rudolf Hammerschmidt,m,Praesidium,ASB,,,,
MuellerW,Wilhelm Mueller,m,Praesidium,ASB,,,,
Fleckenstein,Knut Fleckenstein,m,Bundesvorstand,ASB,,,SPD,
Borchmann,Uwe Borchmann,m,Bundesvorstand,ASB,,Krankenhaus Bad Doberan,,
Loew,HansWerner Loew,m,Bundesvorstand,ASB,,,SPD,
Altdoerfer,KarlEugen Altdoerfer,m,Bundesvorstand,ASB,,,,
Foelich,Ludwig Froelich,m,Bundesvorstand,ASB,,,,
Niestaedt,Krimhild Niestaedt,w,Bundesvorstand,ASB,,,SPD,
SchmidtT,Thomas Schmidt,m,Bundesvorstand,ASB,,,,
Stricker,Michael Stricker,m,Bundesvorstand,ASB,Aidshilfe NRW,Fachhochschule Bielefeld,,
Theiss,Christine Theiss,w,Bundesvorstand,ASB,,,,
Scholz,Georg Scholz,m,Bundesvorstand,ASB,,,SPD,
Schein,Anna Schein,w,Bundesvorstand,ASB,,,,
Bauch,Ulrich Bauch,m,Bundesgeschaeftsfuehrer,ASB,,,,
Kreutz,Marcus Kreutz,m,Bundesgeschaeftsfuehrer,ASB,,,,
Mertenskoetter,Stefan Mertenskoetter,m,Vorstand,arche,,Umweltzentrum Dresden,,
Trentzsch,Cornelia Trentzsch,w,Vorstand,arche,,Fairsicherung Dresden,,
Loeper,Jan Loeper,m,Vorstand,arche,,,,
Marth,Reinhard Marth,m,Vorstand,GTO,,Projekttraeger Juelich,,
Langenbach,Kilian Langenbach,m,Vorstand,GTO,,,,
Wagner,Barbara Wagner,w,Vorstand,GTO,,,,
Saygin,Kurt Saygin,m,Vorstand,IOG,,,,
Appel,Gordon Appel,m,Vorstand,IOG,,,,
Straub,Tilmann Straub,m,Vorstand,IOG,,Siemens Stiftung,,
Faber,Marko Faber,m,Vorstand,IOG,,,,
Luessem,Joerg Luessem,m,Bundesvorstand,JU,,,,
Maehnert,Thomas Maehnert,m,Bundesvorstand,JU,,,,
vonPuttkamer,Hubertus vonPuttkamer,m,Bundesvorstand,JU,,Deutsche Marine,,
Weise,FrankJuergen Weise,m,Praesidium,JU,,Bundeswehr; Bundesamt für Migration und Fluechtlinge,,
Fenge,Annette Fenge,w,Praesidium,JU,,,,
vonGneisenau,AlexanderGrafNeidhardt vonGneisenau,m,Praesidium,JU,,,,
Dyckerhoff,Christian Dyckerhoff,m,Praesidium,JU,,,,
Koelling,Ralf Koelling,m,Praesidium,JU,,,,
Little,Simon Little,m,Praesidium,JU,,Universitaetsklinikum Giessen,,
Seligmann,Oliver Seligmann,m,Praesidium,JU,,,,
WagnerPinggera,Andrea WagnerPinggera,w,Praesidium,JU,,EvangelischLutherische Kirche in Bayern,,
Bieger,FrankHenning Bieger,m,Praesidium,JU,,,,
Fritz,Peter Fritz,m,Praesidium,JU,,,,
Preuss,Klaus Preuss,m,Praesidium,JU,,,,
Tuppeck,Peter Tuppeck,m,Praesidium,JU,,,CDU,
Kraemer,Stephan Kraemer,m,Vorstand,WRD,,,,
Hamm,Michaela Hamm,w,Vorstand,WRD,,,,
Benckert,Andrew Benckert,m,Vorstand,WRD,,,,
vonLobkowicz ,Erich Prinz vonLobkowicz ,m,Praesident,MI,,Deutsche Stiftung Patientenschutz,,
vonMirbachHarff,Clemens Graf vonMirbachHarff,m,Vizepraesident ,MI,,,,
vonBrandensteinZeppelin,Constantin vonBrandensteinZeppelin,m,Praesident ,MI,,,,
SaurmaJeltsch,Douglas Graf vonSaurmaJeltsch,m,Vorstand,MI,,,,
vonFuerstenberg,Cornelius Freiherr vonFuerstenberg,m,Vorstand,MI,,,,
Bauch,Werner Bauch,m,Vorstand,PD,,Stiftung Hilfe mit Plan,,
Berger,Axel Berger,m,Vorstand,PD,,,FDP,
Daliri,Barbara Daliri,w,Vorstand,PD,,,,
Kloppenburg,Norbert Kloppenburg,m,Vorstand,PD,,,CDU,
Klausnitzer,Rudi Klausnitzer,m,Vorstand,PD,,,,
Kramer,Maria Kramer,w,Vorstand,PD,,,,
Ritz,Dorothee Ritz,w,Vorstand,PD,,,,
Schweibert,Ulrike Schweibert,w,Vorstand,PD,,,,
Strehlau,Juergen Strehlau,m,Vorstand,PD,,,,
Taube,Guenther Taube,m,Vorstand,PD,,,,
Wirtz,Julia Wirtz,w,Vorstand,PD,,,,
Schleyer,HannsEberhard Schleyer,m,Kuratorium,PD,,Deutsche Stiftung Denkmalschutz,,
JahrStilcken,Angelika JahrStilcken,w,Kuratorium,PD,,,,Gruner Jahr AG; JahrHolding
vonBassewitz,Christian vonBassewitz,m,Kuratorium,PD,,,,
AroldHahn,Antje AroldHahn,w,Kuratorium,PD,,,SPD,
Doerner,Katja Doerner,w,Kuratorium,PD,Amnesty International; help,mehr Demokratie eV; Bonner Spendenparlament eV; Frauen helfen Frauen eV; Kulturverein Nordstadt eV; Ausbildung statt Abschiebung eV; HeinrichBoellStiftung; Verein für oeffentliche und private Fuersorge; Deutsches Kinderhilfswerk,Buendnis 90 Die Gruenen,
Bernadotte,Bettina Bernadotte,w,Kuratorium,PD,,Homoeopathen ohne Grenzen; Europa Minikoeche; Gaertnern für Alle eV; Europaeisches KulturForum Mainau eV; RotaryClub KonstanzMainau; Mentor Stiftung Deutschland; Welterbe Klosterinsel Reichenau,,
Ellerbeck,Thomas Ellerbeck,m,Kuratorium,PD,,TUI Stiftung; TUI Care Foundation; Beirat des Nah und Mittelostvereins; AtlantikBruecke eV; Deutsche Zentrale für Tourismus,,
Eick,Gabriele Eick,w,Kuratorium,PD,,,,
vonHardenberg,Tita vonHardenberg,w,Kuratorium,PD,,Berliner Umweltpreise des BUND; Kinderhospiz Bethel; Berliner Kinderschutzbund,,
Hess,MarcOliver Hess,m,Kuratorium,PD,,,,
Funke,Rainer Funke,m,Kuratorium,PD,,FerdinandBeitStiftung; Deutsche OrientStiftung; Deutsche Stiftung für internationale rechtliche Zusammenarbeit; FriedrichNaumannStiftung,FDP,
Jergitsch,Friedrich Jergitsch,m,Kuratorium,PD,,,,
Hopfen,Jeannette Hopfen,w,Kuratorium,PD,,,,
Kracht,Marion Kracht,w,Kuratorium,PD,,Fair Play Stiftung; Berliner Tafel; PETA,,
Kloeckner,Julia Kloeckner,w,Kuratorium,PD,,Mittelpunkt Mensch; Ossig Stiftung; Stiftung Weltkirche; Cusanuswerk; Stiftung Mainzer Herz; Aktion Niere; Deutsche Gesellschaft für Muskelkranke eV; Christliche Hospizbewegung Ambulanter Dienst eV; Deutsche Multiple Sklerose Gesellschaft; IdarOberstein; PSPGesellschaft; AtlantikBruecke eV; cnetz; Eugenie Michels Hospiz; St Marienwoerth eV; Luetzelsoon; Foerderverein der Oekumenischen Sozialstation Naehe eV; Weisser Ring; Regionalbuendnis SoonwaldNahe eV; Freundeskreis des Steinskulpturenmuseums eV; Aktion Deutsche Sprache eV,CDU,
Marjan,MarieLuise Marjan,w,Kuratorium,PD,UNICEF,MarieLuiseMarjanStiftung,,
Kretz,FranzJosef Kretz,m,Kuratorium,PD,,,,
Noelling,Philip Noelling,m,Kuratorium,PD,,,,
MayerBonde,Conny MayerBonde,w,Kuratorium,PD,,,CDU,
Roth,Karin Roth,w,Kuratorium,PD,,,,
Risser,Karin Risser,w,Kuratorium,PD,,,,
Schwesig,Manuela Schwesig,w,Kuratorium,PD,,,,
Schoenwaelder,Hans Schoenwaelder,m,Kuratorium,PD,,,,
Stewens,Christa Stewens,w,Kuratorium,PD,,Rotes Kreuz; Ambulantes Kinderhospiz Muenchen; Zentrum für Qualitaet in der Pflege; Bayerische Landesstiftung; Foerderverein Special Olympics; Stiftung Wertebuendnis Bayern; Deutsche Kinderrheumastiftung; IB Verbund Bayern; Donum Vitae; Sternstunden eV,CSU,
SeegersKarasek,Armgard SeegersKarasek,w,Kuratorium,PD,,,,
Wickert,Ulrich Wickert,m,Kuratorium,PD,,Ulrich Wickert Stiftung; Academie de Berlin; v Bodelschwinghsche Stiftungen Bethel; Stiftung Buerger fuer Buerger; Brandenburgischer Sozialfonds eV; Jugendpresse; Fulbright Alumni eV; Schueler Helfen Leben; Papilio,,
Steffen,Wilfried Steffen,m,Kuratorium,PD,,,,
Veith,Christian Veith,m,Kuratorium,PD,,,,
Weskott,Wanja Weskott,m,Aufsichtsrat,VcA,,wasserneutral GmbH,,
Doever,Koray Doever,m,Aufsichtsrat,VcA,,,,
Rueckheim,Ronja Rueckheim,w,Aufsichtsrat,VcA,,,,
Jurga,Ina Jurga,w,Vorstand,WU,UNICEF,,,
Narayanan,Ravi Narayanan,m,Vorstand,WIN,,ActionAid; WaterAid,,
Mohr,Annemarie Mohr,w,Vorstand,WECF,,,,
Waffenschmidt,Christoph Waffenschmidt,m,Vorstand,WV,,Deutscher Spendenrat; Hoffnungstraeger Stiftung,CDU,
Hilligen,Christoph Hilligen,m,Vorstand,WV,,,,
Duerr,Harald Duerr,m,Praesidium,WV,,,,
GummervonMohl,Madeleine GummervonMohl,w,Praesidium,WV,,,,
Dahmen,Marcus Dahmen,m,Praesidium,WV,,,,
Kockskaemper,Maren Kockskaemper,w,Praesidium,WV,,,,
Massmann,Ariane Massmann,w,Praesidium,WV,,,,
Scheffels,Rolf Scheffels,m,Praesidium,WV,,,,
Schenck,Anna Schenck,w,Praesidium,WV,,Caritas,,
Vieth,Edgar Vieth,m,Praesidium,WV,,,,
Wacker,Carsten Wacker,m,Praesidium,WV,,,,
Winkeljohann,Norbert Winkeljohann,m,Praesidium,WV,,,,
Adlhoch,Judith Adlhoch,w,Kuratorium,WV,,,,
Baer,Dorothee Baer,w,Kuratorium,WV,,Lebenshilfe Hassberge,CSU,
Beer,Nicola Beer,w,Kuratorium,WV,,Vereinigung der Alumni der Studienstiftung des Deutschen Volkes; Johanniter; Heraeus Bildungsstiftung; Deutsche Stiftung Frauengesundheit; VDMA Impuls-Stiftung,FDP,
Fraedrich,Jana Fraedrich,w,Kuratorium,WV,,Child Friendly Cities; Kinderinteressen eV,,
Fricke,Otto Fricke,m,Kuratorium,WV,,,FDP,
Hajduk,Anja Hajduk,w,Kuratorium,WV,,,Buendnis 90 Die Gruenen,
Kohl,Anja Kohl,w,Kuratorium,WV,,,,
