id,name,type
AA,AuswaertigesAmt,4
AB,ArbeitsministeriumBosnien,4
adb,AsianDevelopmentBank,2
ADH,AktionDeutschlandhilft,3
AdisesActive,ADISESActive,3
AGEH,ArbeitsgemeinschaftfuerEntwicklungshilfe,3
AgencedeLeauArtoisPicardie,AgencedeLeauArtoisPicardie,4
AgenceFrancaisedeDeveloppement,AgenceFrancaisedeDeveloppement,4
AktiongegenAIDS,AktionsbuendnisgegenAIDS,3
Alexianer,AlexianerKrefeldGmbH,2
AlnavitGmbH,AlnavitGmbH,2
am,Actionmedeor,3
AM,AktionMensch,3
AmrefHealthAfrica,AmrefHealthAfrica,1
ANEJVAD,ANEJVADBilbaoSpanien,4
AOE,AussaetzigenHilfswerkOesterreichAOEBregenz,3
ApolloOptik,ApolloOptik,2
Apothekerkammer,ApothekerkammerNordrhein,2
APS,APSensingGmbH,2
arche,archenoVa,1
ARSAquitaine,ARSdAquitaine,4
ARSRhone,ARSRhoneAlpes,4
ArthurBraun,ArthurBraunStiftungPforzheim,3
ASB,ArbeiterSamariterBund,3
atd,atdGmbH,2
AufwindNeueEnergien,AufwindNeueEnergienGmbH,2
AutohausHuelsemann,AutohausHuelsemann,2
AXA,AXAKonzern,2
AxelSpringer,AxelSpringer,2
BA,BundesverbandderAramaeer,4
BayWaStiftung,BayWaStiftung,3
BBE,DasBundesnetzwerkBuergerschaftlichesEngagement,4
Beeline,Beeline,2
BEGECA,BEGECAAachen,3
BEH,BuendnisEntwicklungHilft,3
BENGO,BeratungsstellefuerprivateTraegerinderEntwicklungszusammenarbeitBonn,3
Berger,BergerSeemuellerLeprastiftungOesterreich,3
BergmannundFranz,BergmannundFranzGmbH,2
BfdW,BrotfuerdieWelt,1
BGSwasser,BGSWasser,2
BillandMelinda,BillandMelindaGatesFoundation,3
BlitzReisen,BlitzReisen,2
BMU,FederalMinistryfortheEnvironmentNatureConservationandNuclearSafetyGermany,4
BMUB,BMUB,4
BMZ,BundesministeriumfuerwirtschaftlicheZusammenarbeitundEntwicklung,4
BORDA,BORDABueroBremen,1
Bornscheuer,BornscheuerDrexlerEisele,2
BPRM,BureauofPopulaionRefugeesandMigraion,4
BR,BayerischerRundfunk,2
Brunel,BrunelGmbH,2
BSH,BSHHausgeraeteGmbH,2
