Id;name;type
AA;AuswaertigesAmt;4
AB;ArbeitsministeriumBosnien;4
adb;AsianDevelopmentBank;2
AgencedeLeauArtoisPicardie;AgencedeLeauArtoisPicardie;4
AgenceFrancaisedeDeveloppement;AgenceFrancaisedeDeveloppement;4
Alexianer;AlexianerKrefeldGmbH;2
AlnavitGmbH;AlnavitGmbH;2
ANEJVAD;ANEJVADBilbaoSpanien;4
ApolloOptik;ApolloOptik;2
Apothekerkammer;ApothekerkammerNordrhein;2
APS;APSensingGmbH;2
ARSAquitaine;ARSdAquitaine;4
ARSRhone;ARSRhoneAlpes;4
atd;atdGmbH;2
AufwindNeueEnergien;AufwindNeueEnergienGmbH;2
AutohausHuelsemann;AutohausHuelsemann;2
AXA;AXAKonzern;2
AxelSpringer;AxelSpringer;2
BA;BundesverbandderAramaeer;4
BBE;DasBundesnetzwerkBuergerschaftlichesEngagement;4
Beeline;Beeline;2
BergmannundFranz;BergmannundFranzGmbH;2
BGSwasser;BGSWasser;2
BlitzReisen;BlitzReisen;2
BMU;FederalMinistryfortheEnvironmentNatureConservationandNuclearSafetyGermany;4
BMUB;BMUB;4
BMZ;BundesministeriumfuerwirtschaftlicheZusammenarbeitundEntwicklung;4
Bornscheuer;BornscheuerDrexlerEisele;2
BPRM;BureauofPopulaionRefugeesandMigraion;4
BR;BayerischerRundfunk;2
Brunel;BrunelGmbH;2
BSH;BSHHausgeraeteGmbH;2
Budni;Budnikowsky;2
BW;BadenWuerttemberg;4
CbG;CWSbocoGruppe;2
CDFA;canadadepartmentofforeignaffairs;4
CDM;CDMSmith;2
CEDB;CouncilofEuropeDevelopmentBank;4
CGValdeMarne;CGValdeMarne;4
Chagas;ChagasCoalition;4
CoffeeCircle;CoffeeCircle;2
Commerzbank;Commerzbank;2
CommunauteDAgglomeration;CommunauteDAgglomerationdeStOmer;4
Cook;ThomasCookAG;2
COPLAN;COPLANAG;2
CREADIS;CREADISGmbH;2
CuroCon;CuroConGmbH;2
CUStrasbourg;CUStrasbourg;4
DBStiftung;DBStiftung;4
DBU;DeutscheBundesstiftungUmweltDBU;4
DeutscheWelle;DeutscheWelle;2
DFID;DepartmentforInternationalDevelopment;4
DiQual;DiQualundGellozPartnerschaftberatenderIngenieure;2
DLA;DLAPiperUKLLP;2
