id,name,type
AA,AA,4
AB,AB,4
AgencedeLeauArtoisPicardie,AgencedeLeauArtoisPicardie,4
AgenceFrancaisedeDeveloppement,AgenceFrancaisedeDeveloppement,4
ApolloOptik,ApolloOptik,2
ARSAquitaine,ARSAquitaine,4
ARSRhone,ARSRhone,4
AufwindNeueEnergien,AufwindNeueEnergien,2
AxelSpringer,AxelSpringer,2
BA,BA,4
Beeline,Beeline,2
BlitzReisen,BlitzReisen,2
BMU,BMU,4
BMUB,BMUB,4
BMZ,BMZ,4
BPRM,BPRM,4
Budni,Budni,2
CEDB,CEDB,4
CGValdeMarne,CGValdeMarne,4
CoffeeCircle,CoffeeCircle,2
Commerzbank,Commerzbank,2
CommunauteDAgglomeration,CommunauteDAgglomeration,4
Cook,Cook,2
CUStrasbourg,CUStrasbourg,4
DBStiftung,DBStiftung,4
DBU,DBU,4
DFID,DFID,4
DGIS,DGIS,4
DLA,DLA,2
DMEnvironment,DMEnvironment,4
DrSchuhmacher,DrSchuhmacher,4
ECEnvironment,ECEnvironment,4
EGG,EGG,4
EU,EU,4
EuropeAid,EuropeAid,4
FAO,FAO,4
FEDER,FEDER,4
Freeletics,Freeletics,2
Fromi,Fromi,2
Frosta,Frosta,2
GebruederWollenhaupt,GebruederWollenhaupt,2
GesundheitsministeriumBurkina,GesundheitsministeriumBurkina,4
GeuderAG,GeuderAG,2
Geze,Geze,2
GreinerGmbH,GreinerGmbH,2
HansenundSoehne,HansenundSoehne,2
Hapeko,Hapeko,2
HealthCare,HealthCare,2
HeinemannMedizin,HeinemannMedizin,2
HelmutUhrigStrassen,HelmutUhrigStrassen,2
IKKG,IKKG,2
InvaCon,InvaCon,2
Kaiser,Kaiser,2
KfW,KfW,2
Kleindiek,Kleindiek,2
LSA,LSA,2
Lycka,Lycka,2
Madeleine,Madeleine,2
MALZWILZBeauty,MALZWILZBeauty,2
MarcCain,MarcCain,2
Mestermacher,Mestermacher,2
Ministereetrangeres,Ministereetrangeres,4
MinistereJeunesse,MinistereJeunesse,4
MinistryEconocmic,MinistryEconocmic,4
MinistryEvNorway,MinistryEvNorway,4
MinistryEvSW,MinistryEvSW,4
MinistryForeign,MinistryForeign,4
MinistryofHousing,MinistryofHousing,4
MusikgruppeShaymani,MusikgruppeShaymani,2
NatracareUK,NatracareUK,4
Nickelodeon,Nickelodeon,2
Nivea,Nivea,2
NORMA,NORMA,2
OCHA,OCHA,4
Oertli,Oertli,2
Olympus,Olympus,2
OuiGruppe,OuiGruppe,2
PapierMettler,PapierMettler,2
PEJA,PEJA,4
PI,PI,2
Piepenbrock,Piepenbrock,2
PippaundJean,PippaundJean,2
PlanInternationalKinder,PlanInternationalKinder,2
PrittundHenkel,PrittundHenkel,2
ProvinceOverjissel,ProvinceOverjissel,4
RBS,RBS,2
Rebelle,Rebelle,2
RoyalNetherlands,RoyalNetherlands,4
Santander,Santander,2
Schleicher,Schleicher,2
Schwarzkopf,Schwarzkopf,2
SchweizerBotschaftB,SchweizerBotschaftB,4
SIDA,SIDA,4
Staedtler,Staedtler,2
STRATEC,STRATEC,2
TAO,TAO,2
Telekom,Telekom,2
Theobroma,Theobroma,2
TransPack,TransPack,2
TUI,TUI,2
UNFPA,UNFPA,4
UNHCR,UNHCR,4
UNICEF,UNICEF,4
UNOCHA,UNOCHA,4
USAID,USAID,4
VetConcept,VetConcept,2
Vincotech,Vincotech,2
Voelkel,Voelkel,2
VolksbankSchermbeck,VolksbankSchermbeck,2
WaterChannel,WaterChannel,2
WaterManagementAustria,WaterManagementAustria,4
Weihnachtsplaner,Weihnachtsplaner,2
Werbealm,Werbealm,2
WFP,WFP,4
WHH,WHH,1
WHO,WHO,4
WITRON,WITRON,2
XING,XING,2
YouGov,YouGov,2
ZEISS,ZEISS,2
PD,PD,1
help,help,1
cbm,cbm,1
WECF,WECF,1
