id,name,type
AA,AA,4
AB,AB,4
AgencedeLeauArtoisPicardie,AgencedeLeauArtoisPicardie,4
AgenceFrancaisedeDeveloppement,AgenceFrancaisedeDeveloppement,4
ApolloOptik,ApolloOptik,2
ARSAquitaine,ARSAquitaine,4
ARSRhone,ARSRhone,4
atd,atd,2
AufwindNeueEnergien,AufwindNeueEnergien,2
AxelSpringer,AxelSpringer,2
BA,BA,4
Beeline,Beeline,2
BGSwasser,BGSwasser,2
BlitzReisen,BlitzReisen,2
BMU,BMU,4
BMUB,BMUB,4
BMZ,BMZ,4
Bornscheuer,Bornscheuer,2
BPRM,BPRM,4
Brunel,Brunel,2
BSH,BSH,2
Budni,Budni,2
cbm,cbm,1
CDM,CDM,2
CEDB,CEDB,4
CGValdeMarne,CGValdeMarne,4
CoffeeCircle,CoffeeCircle,2
Commerzbank,Commerzbank,2
CommunauteDAgglomeration,CommunauteDAgglomeration,4
Cook,Cook,2
COPLAN,COPLAN,2
CREADIS,CREADIS,2
CuroCon,CuroCon,2
CUStrasbourg,CUStrasbourg,4
DBStiftung,DBStiftung,4
DBU,DBU,4
DeutscheWelle,DeutscheWelle,2
DFID,DFID,4
DGIS,DGIS,4
DiQual,DiQual,2
DLA,DLA,2
DMEnvironment,DMEnvironment,4
Dorsch,Dorsch,2
DreesundSommer,DreesundSommer,2
DreiP,DreiP,2
DrSchuhmacher,DrSchuhmacher,4
EarthStaff,EarthStaff,2
ECEnvironment,ECEnvironment,4
EGG,EGG,4
EGSplan,EGSplan,2
ElmosStiftung,ElmosStiftung,2
EPC,EPC,2
EU,EU,4
EuropeAid,EuropeAid,4
FAO,FAO,4
FEDER,FEDER,4
FOKUS,FOKUS,2
Freeletics,Freeletics,2
FriedrichundLochner,FriedrichundLochner,2
Fromi,Fromi,2
Frosta,Frosta,2
GebruederWollenhaupt,GebruederWollenhaupt,2
GesundheitsministeriumBurkina,GesundheitsministeriumBurkina,4
GeuderAG,GeuderAG,2
Geze,Geze,2
goMatlab,goMatlab,2
GreinerGmbH,GreinerGmbH,2
HansenundSoehne,HansenundSoehne,2
Hapeko,Hapeko,2
HealthCare,HealthCare,2
HeinemannMedizin,HeinemannMedizin,2
HelmutUhrigStrassen,HelmutUhrigStrassen,2
help,help,1
HyderConsulting,HyderConsulting,2
IGMMessen,IGMMessen,2
IKKG,IKKG,2
IngenieurbueroFischer,IngenieurbueroFischer,2
Inros,Inros,2
Intewa,Intewa,2
InvaCon,InvaCon,2
IOG,IngenieureOhneGrenzen,1
IPSystems,IPSystems,2
Isar,Isar,2
Kaiser,Kaiser,2
Kauke,Kauke,2
KfW,KfW,2
Kleindiek,Kleindiek,2
KWest,KWest,2
Lahmeyer,Lahmeyer,2
Lausitzer,Lausitzer,2
LektoratGerlinde,LektoratGerlinde,2
LeonhardAndrae,LeonhardAndrae,2
LeonhardWeiss,LeonhardWeiss,2
Lindenwirt,Lindenwirt,2
LSA,LSA,2
Lycka,Lycka,2
Madeleine,Madeleine,2
MALZWILZBeauty,MALZWILZBeauty,2
MarcCain,MarcCain,2
MerckFamily,MerckFamily,2
Mestermacher,Mestermacher,2
Ministereetrangeres,Ministereetrangeres,4
MinistereJeunesse,MinistereJeunesse,4
MinistryEconocmic,MinistryEconocmic,4
MinistryEvNorway,MinistryEvNorway,4
MinistryEvSW,MinistryEvSW,4
MinistryForeign,MinistryForeign,4
MinistryofHousing,MinistryofHousing,4
MUCKINGENIEURE,MUCKINGENIEURE,2
MusikgruppeShaymani,MusikgruppeShaymani,2
Nalco,Nalco,2
NatracareUK,NatracareUK,4
NextKraftwerke,NextKraftwerke,2
Nickelodeon,Nickelodeon,2
Nivea,Nivea,2
NORMA,NORMA,2
OCHA,OCHA,4
Oertli,Oertli,2
Olympus,Olympus,2
OuiGruppe,OuiGruppe,2
PapierMettler,PapierMettler,2
PD,PD,1
PEJA,PEJA,4
PERI,PERI,2
PFEIFER,PFEIFER,2
PI,PI,2
Piepenbrock,Piepenbrock,2
PippaundJean,PippaundJean,2
PlanInternationalKinder,PlanInternationalKinder,2
PrittundHenkel,PrittundHenkel,2
PROMECON,PROMECON,2
ProvinceOverjissel,ProvinceOverjissel,4
RBS,RBS,2
Rebelle,Rebelle,2
RolfRonschke,RolfRonschke,2
RotaryClubBadOrb,RotaryClubBadOrb,2
RotaryClubBiedenkopf,RotaryClubBiedenkopf,2
RotaryClubGrafschaftMoers,RotaryClubGrafschaftMoers,2
RoyalNetherlands,RoyalNetherlands,4
RundHUmwelt,RundHUmwelt,2
Santander,Santander,2
SchenkerDeutschland,SchenkerDeutschland,2
schlaich,schlaich,2
Schleicher,Schleicher,2
Schwarzkopf,Schwarzkopf,2
SchweizerBotschaftB,SchweizerBotschaftB,4
seneos,seneos,2
SIDA,SIDA,4
SOFiSTiK,SOFiSTiK,2
SopraSteria,SopraSteria,2
Staedtler,Staedtler,2
STRATEC,STRATEC,2
Sunshine,Sunshine,2
TAO,TAO,2
Telekom,Telekom,2
Theobroma,Theobroma,2
TransPack,TransPack,2
TueVRheinland,TueVRheinland,2
TUI,TUI,2
UNFPA,UNFPA,4
UNHCR,UNHCR,4
UNICEF,UNICEF,4
UNOCHA,UNOCHA,4
USAID,USAID,4
VDW,VDW,2
VetConcept,VetConcept,2
Vincotech,Vincotech,2
Voelkel,Voelkel,2
VolksbankSchermbeck,VolksbankSchermbeck,2
WaterChannel,WaterChannel,2
WaterManagementAustria,WaterManagementAustria,4
WECF,WECF,1
Weihnachtsplaner,Weihnachtsplaner,2
Werbealm,Werbealm,2
WFP,WFP,4
WHH,WHH,1
WHO,WHO,4
WITRON,WITRON,2
XING,XING,2
YouGov,YouGov,2
ZEISS,ZEISS,2
ZPP,ZPP,2
