id,name,type
AA,Auswaertiges Amt,4
ADH,Aktion Deutschland hilft,3
APS,AP Sensing GmbH,2
AXA,AXA-Konzern,2
AxelSpringer,Axel Springer,2
Beeline,Beeline,2
BlitzReisen,BlitzReisen,2
BMZ,Bundesministerium fuer wirtschaftliche Zusammenarbeit und Entwicklung ,4
Budni,Budnikowsky,2
care,CARE,1
CoffeeCircle,Coffee Circle,2
Commerzbank,Commerzbank,2
Cook,Thomas Cook AG,2
DBS,Deutsche Bank Stifung,3
DWA,"Deutsche Vereinigung fuer Wasserwirtschaft, Abwasser und Abfall",3
ECHO,European Comission Humanitarian Aid Office,3
Freeletics,Freeletics,2
Fromi,Fromi,2
GIZ,Deutsche Gesellschaft fuer internationale Zusammenarbeit ,3
HMF,H&M Foundation ,2
Kaiser,Kaiser Biobrotbaeckerei,2
KfW,KfW Entwicklungsbank,2
Lycka,Lycka,2
Madeleine,Madeleine,2
Mestermacher,Mestermacher Baeckerei,2
Osthus,Osthus,2
Paypack,Payback,2
PSMH,Platz schaffen mit Herz,3
Reishunger,Reishunger GmbH,2
RTL,RTL,2
SWG,Sasha Waltz und Guests,2
Telekom,Deutsche Telekom AG,2
Theobroma,Theobroma,2
UNFPA,Weltbevoelkerungsfonds der Vereinten Nationen ,4
VET,VET-Konzept,2
Weihnachtsplaner,Weihnachtsplaner,2
WFA,Water for All,3
WHH,Welthungerhilfe,1
YouGov,YouGov,2
