from,to
AA,WHH
AA,cbm
AA,help
AA,PD
AB,help
AgencedeLeauArtoisPicardie,WECF
AgenceFrancaisedeDeveloppement,WECF
ApolloOptik,help
ARSAquitaine,WECF
ARSRhone,WECF
atd,IOG
AufwindNeueEnergien,WECF
AxelSpringer,WHH
BA,help
Beeline,WHH
BGSwasser,IOG
BlitzReisen,WHH
BMU,WECF
BMUB,WECF
BMZ,WHH
BMZ,cbm
BMZ,help
Bornscheuer,IOG
BPRM,help
Brunel,IOG
BSH,IOG
Budni,WHH
CDM,IOG
CEDB,help
CGValdeMarne,WECF
CoffeeCircle,WHH
Commerzbank,WHH
Commerzbank,help
CommunauteDAgglomeration,WECF
Cook,WHH
COPLAN,IOG
CREADIS,IOG
CuroCon,IOG
CUStrasbourg,WECF
DBStiftung,help
DBU,WECF
DeutscheWelle,IOG
DFID,WHH
DGIS,WECF
DiQual,IOG
DLA,cbm
DMEnvironment,WECF
Dorsch,IOG
DreesundSommer,IOG
DreiP,IOG
DrSchuhmacher,help
EarthStaff,IOG
ECEnvironment,WECF
EGG,cbm
EGSplan,IOG
ElmosStiftung,IOG
EPC,IOG
EU,cbm
EU,help
EuropeAid,WHH
EuropeAid,help
EuropeAid,PD
EuropeAid,WECF
FAO,WHH
FAO,help
FEDER,WECF
FOKUS,IOG
Freeletics,WHH
Freeletics,PD
FriedrichundLochner,IOG
Fromi,WHH
Frosta,PD
GebruederWollenhaupt,PD
GesundheitsministeriumBurkina,help
GeuderAG,cbm
Geze,PD
goMatlab,IOG
GreinerGmbH,cbm
HansenundSoehne,PD
Hapeko,PD
HealthCare,cbm
HeinemannMedizin,cbm
HelmutUhrigStrassen,PD
HyderConsulting,IOG
IGMMessen,IOG
IKKG,cbm
IngenieurbueroFischer,IOG
Inros,IOG
Intewa,IOG
InvaCon,PD
IPSystems,IOG
Isar,IOG
Kaiser,WHH
Kauke,IOG
KfW,WHH
KfW,cbm
Kleindiek,cbm
KWest,IOG
Lahmeyer,IOG
Lausitzer,IOG
LektoratGerlinde,IOG
LeonhardAndrae,IOG
LeonhardWeiss,IOG
Lindenwirt,IOG
LSA,cbm
Lycka,WHH
Madeleine,WHH
MALZWILZBeauty,PD
MarcCain,PD
MerckFamily,IOG
Mestermacher,WHH
Ministereetrangeres,WECF
MinistereJeunesse,WECF
MinistryEconocmic,WECF
MinistryEvNorway,WECF
MinistryEvSW,WECF
MinistryForeign,WECF
MinistryofHousing,WECF
MUCKINGENIEURE,IOG
MusikgruppeShaymani,PD
Nalco,IOG
NatracareUK,WECF
NextKraftwerke,IOG
Nickelodeon,PD
Nivea,PD
NORMA,PD
OCHA,WHH
Oertli,cbm
Olympus,PD
OuiGruppe,PD
PapierMettler,cbm
PEJA,WECF
PERI,IOG
PFEIFER,IOG
PI,help
Piepenbrock,PD
PippaundJean,PD
PlanInternationalKinder,PD
PrittundHenkel,PD
PROMECON,IOG
ProvinceOverjissel,WECF
RBS,PD
Rebelle,PD
RolfRonschke,IOG
RotaryClubBadOrb,IOG
RotaryClubBiedenkopf,IOG
RotaryClubGrafschaftMoers,IOG
RoyalNetherlands,WECF
RundHUmwelt,IOG
Santander,PD
SchenkerDeutschland,IOG
schlaich,IOG
Schleicher,PD
Schwarzkopf,PD
SchweizerBotschaftB,help
seneos,IOG
SIDA,help
SOFiSTiK,IOG
SopraSteria,IOG
Staedtler,PD
STRATEC,PD
Sunshine,IOG
TAO,PD
Telekom,WHH
Telekom,help
Theobroma,WHH
TransPack,cbm
TueVRheinland,IOG
TUI,PD
UNFPA,help
UNHCR,WHH
UNHCR,help
UNHCR,PD
UNICEF,help
UNOCHA,help
USAID,WHH
VDW,IOG
VetConcept,cbm
Vincotech,PD
Voelkel,PD
VolksbankSchermbeck,PD
WaterChannel,WECF
WaterManagementAustria,WECF
Weihnachtsplaner,WHH
Werbealm,PD
WFP,WHH
WFP,help
WFP,PD
WHO,help
WITRON,cbm
XING,PD
YouGov,WHH
ZEISS,cbm
ZPP,IOG
