from,to
AA,WHH
AA,care
ADH,care
ALU,care
APS,care
AXA,care
AxelSpringer,WHH
Beeline,WHH
BlitzReisen,WHH
BMZ,WHH
BMZ,care
Budni,WHH
CoffeeCircle,WHH
Commerzbank,WHH
Commerzbank,care
Cook,WHH
DWA,WHH
ECHO,care
Freeletics,WHH
Fromi,WHH
GIZ,WHH
UNHCR,WHH
OCHA,WHH
HMF,care
Kaiser,WHH
KfW,WHH
Lycka,WHH
Madeleine,WHH
Mestemacher,WHH
ECHO,WHH
WFP,WHH
USAID,WHH
Osthus,care
Payback,care
PSMH,WHH
Reishunger,care
RTL,care
SWG,care
Telekom,WHH
Theobroma,WHH
UNFPA,care
VET,GTO
Weihnachtsplaner,WHH
WFA,WHH
YouGov,WHH
EuropeAid,WHH
DFID,WHH
FAO,WHH
youtrex,care
CbG,GTO
LUSH,GTO
HeringManagement,GTO
BergmannundFranz,GTO
Slido,GTO
BMZ,GTO
AA,GTO
UNWater,GTO
EGG,GTO
LEZ,GTO
BfdW,GTO
KnorrBremse,GTO
SUENW,GTO
NSUE,GTO
StiftungVeoila,GTO
SIBSB,GTO
SerengetiParkStiftung,GTO
GoogleGrants,GTO
HausDesStiftens,GTO
FedEx,am
Jungheinrich,am
Zentiva,am
Alexianer,am
Apothekerkammer,am
AutohausHuelsemann,am
HandelsverbandKrefeld,am
SparkasseKrefeld,am
VolksbankKrefeld,am
FortunaDuesseldorf,am
DuesseldorferSymphoniker,am
Helpball,am
BMZ,ADRA
AA,ADRA
ADH,ADRA
GemeinsamfuerAfrika,ADRA
ECHO,ADRA
DerParitaetische,ADRA
VENRO,ADRA
DasAdventWohlfahrtsWerk,ADRA
TheologischeHochschule,ADRA
KrankenhausWaldfried,ADRA
UNHCR,ADRA
UNO,ADRA
WVN,ADRA
CONCORD,ADRA
ECHO,ADRA
EuropeAid,ADRA
AA,arche
ADH,arche
BMZ,arche
DerParitaetische,arche
GIZ,arche
VENRO,arche
GemeinsamfuerAfrika,arche
ENS,arche
UNOCHA,arche
UNICEF,arche
PlanInternational,arche
RWSN,arche
SSA,arche
ECHO,arche
EuropeAid,arche
ADH,ASB
AM,ASB
AA,ASB
FAO,ASB
ECHO,ASB
SOLIDAR,ASB
BMZ,BORDA
GIZ,BORDA
WFB,BORDA
OVB,BORDA
BillandMelinda,BORDA
UNICEF,BORDA
EVN,BORDA
UNEP,BORDA
unhabitat,BORDA
adb,BORDA
EU,BORDA
AA,cbm
BMZ,cbm
GIZ,cbm
EU,cbm
EGG,cbm
KfW,cbm
DLA,cbm
HeinemannMedizin,cbm
GeuderAG,cbm
GreinerGmbH,cbm
IKKG,cbm
Kleindiek,cbm
LSA,cbm
Oertli,cbm
HealthCare,cbm
PapierMettler,cbm
TransPack,cbm
VetConcept,cbm
WITRON,cbm
ZEISS,cbm
ADH,help
ApolloOptik,help
AB,help
AA,help
BMZ,help
BORDA,help
BA,help
BPRM,help
CaritasLuxembourg,help
CEDB,help
Commerzbank,help
DBStiftung,help
Telekom,help
DrSchuhmacher,help
ECHO,help
EU,help
EuropeAid,help
FAO,help
ReinerMeutschStiftung,help
GesundheitsministeriumBurkina,help
GIZ,help
PI,help
HDL,help
HITSitung,help
LCIF,help
NAK,help
SchweizerBotschaftB,help
SIDA,help
UNFPA,help
UNHCR,help
UNICEF,help
UNOCHA,help
WaterAidUK,help
WFP,help
WHO,help
DreiP,IOG
atd,IOG
BayWaStiftung,IOG
BGSwasser,IOG
Bornscheuer,IOG
BSH,IOG
Brunel,IOG
CDM,IOG
COPLAN,IOG
CREADIS,IOG
CuroCon,IOG
DeutscheWelle,IOG
DiQual,IOG
Dorsch,IOG
DreesundSommer,IOG
EarthStaff,IOG
EGSplan,IOG
ElmosStiftung,IOG
EPC,IOG
FOKUS,IOG
FriedrichundLochner,IOG
goMatlab,IOG
HyderConsulting,IOG
IGMMessen,IOG
IngenieurbueroFischer,IOG
Inros,IOG
Intewa,IOG
IPSystems,IOG
Isar,IOG
Kauke,IOG
KWest,IOG
Lahmeyer,IOG
Lausitzer,IOG
LektoratGerlinde,IOG
LeonhardWeiss,IOG
LeonhardAndrae,IOG
Lindenwirt,IOG
MerckFamily,IOG
MUCKINGENIEURE,IOG
Nalco,IOG
NextKraftwerke,IOG
ZPP,IOG
PERI,IOG
PFEIFER,IOG
PROMECON,IOG
RundHUmwelt,IOG
RolfRonschke,IOG
RotaryClubBadOrb,IOG
RotaryClubBiedenkopf,IOG
RotaryClubGrafschaftMoers,IOG
SchenkerDeutschland,IOG
schlaich,IOG
seneos,IOG
SOFiSTiK,IOG
SopraSteria,IOG
Sunshine,IOG
TueVRheinland,IOG
VDW,IOG
Commerzbank,JU
CONRAD,JU
DBS,JU
ElseStiftung,JU
EvLuth,JU
Google,JU
MagnaSteyr,JU
OttoBockStiftung,JU
RegineSixt,JU
RocheDiabetes,JU
BR,JU
RTL,JU
Tereska,JU
UPS,JU
Diakonie,JU
ADH,JU
JOIN,JU
THW,JU
VENRO,JU
StJohn,JU
BBE,JU
GemeinsamfuerAfrika,JU
AmrefHealthAfrica,MI
AA,MI
ADH,MI
BW,MI
BMZ,MI
CICF,MI
DBS,MI
GHS,MI
EHfK,MI
ECHO,MI
EF,MI
EuropeAid,MI
FIND,MI
futur21,MI
ElseStiftung,MI
GIZ,MI
GlobalFund,MI
GlobalFundFP,MI
HAMAP,MI
JustaDrop,MI
LachenHelfen,MI
PRM,MI
NachbarinNot,MI
Orienthelfer,MI
ukaid,MI
RTL,MI
se,MI
RegineSixt,MI
UNICEF,MI
WCFF,MI
WFP,MI
ZOA,MI
WHO,MI
VENRO,MI
EuropeAid,PD
AA,PD
GIZ,PD
WFP,PD
UNHCR,PD
Freeletics,PD
Frosta,PD
GebruederWollenhaupt,PD
Geze,PD
Hapeko,PD
InvaCon,PD
HansenundSoehne,PD
MALZWILZBeauty,PD
MarcCain,PD
Nickelodeon,PD
Nivea,PD
PlanInternationalKinder,PD
NORMA,PD
Olympus,PD
OuiGruppe,PD
Piepenbrock,PD
PippaundJean,PD
PrittundHenkel,PD
RBS,PD
Rebelle,PD
Santander,PD
Schleicher,PD
Schwarzkopf,PD
MusikgruppeShaymani,PD
Staedtler,PD
STRATEC,PD
TAO,PD
TUI,PD
HelmutUhrigStrassen,PD
Vincotech,PD
Voelkel,PD
VolksbankSchermbeck,PD
Werbealm,PD
XING,PD
EC,ToG
ECHO,ToG
BMZ,ToG
AA,ToG
USAID,ToG
FAO,ToG
UNDP,ToG
IOM,ToG
CDFA,ToG
UNICEF,ToG
GIZ,ToG
VENRO,DAHW
AktiongegenAIDS,DAHW
AGEH,DAHW
BENGO,DAHW
BEH,DAHW
DTG,DAHW
DNTDs,DAHW
DIFAEM,DAHW
DZK,DAHW
WNB,DAHW
EWNNW,DAHW
LMU,DAHW
ANEJVAD,DAHW
Chagas,DAHW
IDEA,DAHW
ILA,DAHW
InternationalLeprosyUnionILUIndien,DAHW
IUATLD,DAHW
ILEP,DAHW
LRI,DAHW
ArthurBraun,DAHW
AOE,DAHW
BEGECA,DAHW
BENGO,DAHW
Berger,DAHW
BMZ,DAHW
CaritasLuxembourg,DAHW
MoellerStiftungGroenau,DAHW
EU,DAHW
FamilieBraun,DAHW
FHI,DAHW
FFL,DAHW
Fontana,DAHW
FriedhelmStiftung,DAHW
GDF,DAHW
GuentherBraunStiftung,DAHW
Hanicap,DAHW
HelmutundAnnelieseStiftung,DAHW
HermannKoberStiftung,DAHW
KNCV,DAHW
LBFLM,DAHW
LikvidaceLepry,DAHW
NordrheinWestfaelischeStiftung,DAHW
NOVARTIS,DAHW
OsthessischeStiftung,DAHW
PaepstlichesMissionswerk,DAHW
PaulundSusiHoffmannStiftung,DAHW
RichardEmondtsStiftung,DAHW
RosemarieundBernhardArnoldsStiftung,DAHW
RuthPfauStiftung,DAHW
RudolfundMarianneScheinerStiftung,DAHW
StiftungderEheleute,DAHW
StiftungTuberkulosehilfeWuerzburg,DAHW
ViktorSchroederStiftung,DAHW
WHO,DAHW
EuropeAid,WECF
AdisesActive,WECF
AgencedeLeauArtoisPicardie,WECF
AgenceFrancaisedeDeveloppement,WECF
ARSAquitaine,WECF
ARSRhone,WECF
AufwindNeueEnergien,WECF
BMUB,WECF
CGValdeMarne,WECF
CommunauteDAgglomeration,WECF
CUStrasbourg,WECF
DMEnvironment,WECF
DBU,WECF
ECEnvironment,WECF
FEDER,WECF
WaterManagementAustria,WECF
BMU,WECF
filiadiefrauenstiftung,WECF
FondationDanielle,WECF
FondationLeANATURE,WECF
FondationLemarchand,WECF
FondationRAJADanieleMarcovici,WECF
FWPN,WECF
FredFoundation,WECF
UBA,WECF
Haella,WECF
Milieukontakt,WECF
MinistereJeunesse,WECF
Ministereetrangeres,WECF
MinistryEconocmic,WECF
MinistryForeign,WECF
DGIS,WECF
MinistryofHousing,WECF
MinistryEvNorway,WECF
MinistryEvSW,WECF
NatracareUK,WECF
PEJA,WECF
ProvinceOverjissel,WECF
RegionIledeFrance,WECF
RegionRhoneAlpes,WECF
RoyalNetherlands,WECF
SIAAP,WECF
Triodos,WECF
WaterChannel,WECF
soulproducts,VcA
Aveda,VcA
25hours,VcA
BMZ,WIN
DGIS,WIN
SIDA,WIN
se,WIN
Micha,WRD
ERLASSJAHR,WRD
UNHCR,WRD
UNICEF,WRD
UNOCHA,WRD
WHO,WRD
AA,WRD
