from,to
AA,WHH
AA,cbm
AA,help
AA,PD
AB,help
AgencedeLeauArtoisPicardie,WECF
AgenceFrancaisedeDeveloppement,WECF
ApolloOptik,help
ARSAquitaine,WECF
ARSRhone,WECF
AufwindNeueEnergien,WECF
AxelSpringer,WHH
BA,help
Beeline,WHH
BlitzReisen,WHH
BMU,WECF
BMUB,WECF
BMZ,WHH
BMZ,cbm
BMZ,help
BPRM,help
Budni,WHH
CEDB,help
CGValdeMarne,WECF
CoffeeCircle,WHH
Commerzbank,WHH
Commerzbank,help
CommunauteDAgglomeration,WECF
Cook,WHH
CUStrasbourg,WECF
DBStiftung,help
DBU,WECF
DFID,WHH
DGIS,WECF
DLA,cbm
DMEnvironment,WECF
DrSchuhmacher,help
ECEnvironment,WECF
EGG,cbm
EU,cbm
EU,help
EuropeAid,WHH
EuropeAid,help
EuropeAid,PD
EuropeAid,WECF
FAO,WHH
FAO,help
FEDER,WECF
Freeletics,WHH
Freeletics,PD
Fromi,WHH
Frosta,PD
GebruederWollenhaupt,PD
GesundheitsministeriumBurkina,help
GeuderAG,cbm
Geze,PD
GreinerGmbH,cbm
HansenundSoehne,PD
Hapeko,PD
HealthCare,cbm
HeinemannMedizin,cbm
HelmutUhrigStrassen,PD
IKKG,cbm
InvaCon,PD
Kaiser,WHH
KfW,WHH
KfW,cbm
Kleindiek,cbm
LSA,cbm
Lycka,WHH
Madeleine,WHH
MALZWILZBeauty,PD
MarcCain,PD
Mestermacher,WHH
Ministereetrangeres,WECF
MinistereJeunesse,WECF
MinistryEconocmic,WECF
MinistryEvNorway,WECF
MinistryEvSW,WECF
MinistryForeign,WECF
MinistryofHousing,WECF
MusikgruppeShaymani,PD
NatracareUK,WECF
Nickelodeon,PD
Nivea,PD
NORMA,PD
OCHA,WHH
Oertli,cbm
Olympus,PD
OuiGruppe,PD
PapierMettler,cbm
PEJA,WECF
PI,help
Piepenbrock,PD
PippaundJean,PD
PlanInternationalKinder,PD
PrittundHenkel,PD
ProvinceOverjissel,WECF
RBS,PD
Rebelle,PD
RoyalNetherlands,WECF
Santander,PD
Schleicher,PD
Schwarzkopf,PD
SchweizerBotschaftB,help
SIDA,help
Staedtler,PD
STRATEC,PD
TAO,PD
Telekom,WHH
Telekom,help
Theobroma,WHH
TransPack,cbm
TUI,PD
UNFPA,help
UNHCR,WHH
UNHCR,help
UNHCR,PD
UNICEF,help
UNOCHA,help
USAID,WHH
VetConcept,cbm
Vincotech,PD
Voelkel,PD
VolksbankSchermbeck,PD
WaterChannel,WECF
WaterManagementAustria,WECF
Weihnachtsplaner,WHH
Werbealm,PD
WFP,WHH
WFP,help
WFP,PD
WHO,help
WITRON,cbm
XING,PD
YouGov,WHH
ZEISS,cbm
